INaCa,INaK,IClb,ICaL,Itos,IK1,IKs,IKr
0.08551248194137,0.005941417841546,0.00773489161873,0.06694912292352,0.05529366286432,0.3759290733627,0.0967479938771,0.0029662726021609
0.01035502006467,0.02950918158364,0.003600209630997,0.06081212901292,0.03788405645268,0.3600223170291,0.1445509284072,0.002864316172907
0.004927493868277,0.009629718907749,0.001743031771508,0.05395509127013,0.001252413981968,0.2784655835663,0.08488482035994,0.003918405403697
0.03329776724669,0.05134313938319,0.005213182494006,0.07129191223707,0.04571246560898,0.4229625839032,0.216817204673,0.002882193369786
0.1045911196012,0.02075630275396,0.008906135854552,0.1745720985386,0.1315207527196,0.565535126001,0.2008826143477,0.002770666840051
0.003862334525735,0.007337195044121,0.02908185888199,0.1023212757577,0.03708236411403,0.3445849743599,0.297305276119,0.008005791279822
0.01265726385652,0.006669744477343,0.003035829494829,0.06439083791869,0.008777561315547,0.3892212550943,0.08197290622089,0.005890440067409
0.001794835979014,0.06944720791277,0.7351250810594,5.975775548361,3.029589396419,0.2423016332897,0.7407094943915,0.01950558835423
0.03959127680136,0.008292078738794,0.02864824209931,0.06620675095189,0.03990397933826,0.2407061765479,0.1911412365615,0.0044060593080569
0.002632318988648,0.001466851980209,0.0006028845001989,0.04929012272402,0.0002201255525879,0.3606382099153,0.04789709403352,0.003560408958967
0.0002716573391364,0.01536388416041,0.4193842603422,10.06517876363,5.425391005446,0.2442310933982,0.1667863796243,0.01286251300524
0.03452245227612,0.002166173329232,0.001583525388033,0.05084314471,0.0003336225938467,0.2774767592278,0.3474394085601,0.004954195647124
0.01916831534142,0.003508740358073,0.02436569430318,0.07259683732865,0.03723724191983,0.2834276545229,0.1284798395819,0.005963294754514
0.02192250544737,0.004879753035893,0.004341903651753,0.07115673757767,0.05492013440621,0.3376129079689,0.07712373075098,0.004019441384143
0.1870535981405,0.00721639740562,0.01245927794999,0.1553069782912,0.1270859144976,0.3506987026817,0.284669179738,0.007335472424443
0.006806907427353,0.007066659401915,0.04444626022027,0.08463845693018,0.05091068189449,0.3200193320379,0.3551221594449,0.005903422180309
0.007004089976216,0.002782758695254,0.002058926981565,0.05955467259293,0.009962467869375,0.3943800395112,0.04162265877956,0.00438248059188
0.02298149157542,0.0029443278404,0.003137885056413,0.06529936368774,0.0009043963009868,0.3103262154562,0.1226584216756,0.0079123723022339
0.001755774126398,0.0009671304087088,0.0003887238693478,0.05612954453557,0.000108751109634,0.3351249019284,0.2369910211003,0.004135466059262
0.2599709177596,0.003191794429248,0.008334443403496,0.05657094477783,0.002239426486594,0.3456843359357,0.135821838648,0.005037877638041
0.1136553774131,0.004584908085431,0.009817575630847,0.05851551145329,0.02045970108423,0.3818536754638,0.1075257415331,0.004011413655399
0.008080655173126,0.002361332617505,0.001756117607925,0.05153971445416,0.001086029812167,0.2921667242645,0.05786710065981,0.003868954887426
0.005997417816811,0.2028755062225,0.002407834302145,0.06126111629305,0.01399453457862,0.4481627451819,0.1043352155064,0.002409130478256
